date,China,USA,Vietnam,Australia,Japan,HongKong,Singapore,Norway,Panama,Taiwan
2000-02-01,10937538,5581925,4107145,562582,1761393,2150969,711140,195598,6902,1413335
2000-02-01,12185274,6997554,4796012,623736,2156621,3005224,759781,138030,14061,1524871
2000-02-01,12029854,6664272,4506085,584047,2122870,2635980,736473,34887,43537,1593029
2000-02-01,12710301,7157647,5242213,610686,2332173,3102677,908473,148682,151684,1774431
2000-02-01,14415867,8412355,4904971,1021644,2614684,2739663,1353718,104649,324808,2226232
2000-02-01,11787037,8066783,4642318,621425,2237046,2441565,630652,72324,41675,1597108
2000-02-01,11208799,6396235,3907994,625420,2191909,2516269,698979,18419,28591,1677060
2000-02-01,13408119,7970756,4207079,725610,2415077,3402418,1111517,156501,74611,1901696
2000-02-01,13401058,7557229,4334987,767341,2489525,2985366,884063,64676,52027,1770535
2000-02-01,13246809,7448016,4167819,682264,2361627,3093420,1381625,33178,108778,1950812
2000-02-01,13070490,8717226,4581971,847889,2597105,3471242,1181819,47142,209712,2062478
2000-02-01,13586374,8724016,4934034,899641,2565014,2872361,1582735,52539,174899,2022050
2000-02-01,13881328,7704224,4850338,675742,2522980,3415829,1116604,55335,264391,2138340
2000-02-01,14291980,7983934,5101701,804980,2541018,3852088,1332202,94996,51107,2206938
2000-02-01,15272549,8133640,5478297,947691,2813250,3232583,1463579,50060,213777,2398739
2000-02-01,15342563,8787542,5617023,1130830,2712571,3444273,1411021,64144,25794,2333288
2000-02-01,13355448,8567187,5303700,1061382,2615793,2498279,1374306,54388,20274,1887728
2000-02-01,13008684,7733573,5232460,1094073,2470207,2394649,1391725,58046,116866,2218640
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
2000-02-01,,,,,,,,,,
